term,replacement
sinergi,sinergi
naturkangkung,kangkung
bab,bab
kondisikan,kondisi
resah,resah
ngusahain,usaha
keburu,keburu
kangkung,kangkung
vantek,pantek
comender,comender
abe,abe
mata,mata
ngantuk,ngantuk
bnget,banget
pengen,pingin
have,have
fun,fun
seneng,seneng
ngeyel,ngeyel
mlh,milih
hidup,hidup
toxic,toxic
bersosialisasi,sosial
bener²,bener
machk,match
making,making
ngabisin,habis
duit,duit
ranked,rank
troll,troll
komposisi,komposisi
vs,vs
loding,loading
screen,screen
paksa,paksa
menitan,menit
posisi,posisi
winning,win
rela,rela
cacat,cacat
lngsung,langsung
internet,internet
lncr,lancar
dipke,pakai
tolonglah,tolong
moba,mlbb
milik,milik
jiwa,jiwa
ala,ala
turnamen,turnamen
nikmat,nikmat
pusing,pusing
mikirin,pikir
pool,pool
sesuai,sesuai
jeda,jeda
kompetitif,kompetitif
fight,fight
repot,repot
berfikir,pikir
keras,keras
makan,makan
data,data
baktre,baterai
free,free
fire,fire
pub,pub
serugame,seru
rakus,rakus
miskin,miskin
klau,kalau
srng,serang
dlm,dalam
lenjend,legend
rating,rate
rendah,rendah
lainsaya,lain
akun,akun
riset,reset
sia,sia
kait,kait
platform,platform
guest,guest
why,why
ls,ls
×,x
dasar,dasar
mikir,pikir
ath,atas
tong,tong
sagawayah,saga
ajah,aja
takdirkan,takdir
tibtiba,tiba
stuck,stuck
bagusdan,bagus
mainya,main
bnr,benar
adili,adil
bbrpa,berapa
bln,bulan
gx,tidak
naekngendog,naik
efic,epic
tingal,tinggal
legen,legend
trun,turun
msuh,musuh
sbalik,balik
jg,juga
bntang,bintang
jengkel,kesal
jaya,jaya
nonton,nonton
ganti,ganti
taiktiap,tiap
sistemplayer,sistem
trollmasa,troll
samapai,sampai
bermainini,main
lagiini,lagi
koperatif,koperatif
lagigame,lagi
apanya,apa
giniini,gini
hancur,hancur
berkalikali,kali
annoying,annoying
rekomen,rekomen
loyo,loyo
perbaikisaat,baik
truss,terus
lancar²,lancar
jaringannyakenapa,jaringan
ngelek,lag
mainjadi,main
perbaikidan,baik
pangkatnyagame,pangkat
terusaan,terus
updated,update
revam,revamp
hiro,hero
selagala,segala
macem,macam
bergunaaa,guna
anyingg,anjir
abai,abai
heran,heran
anjinggg,anjing
hei,hai
maksa,maksa
cepat,cepat
hewan,hewan
akal,akal
dengarin,dengar
suara,suara
playermu,player
oktapi,tapi
kayaknya,kayak
halaman,halaman
restart,restart
bangetbug,bug
mode,mode
tibatiba,tiba
pengalaman,alam
sgt,sangat
even,event
tingkat,tingkat
ko,kok
gerakannyaapalagi,gerak
warjadi,war
trlalu,terlalu
aman²,aman
sekarang²,sekarang
loading,loading
woi,woi
dibenerin,benar
abad,abad
wkwkwk,wkwk
wkwkwkw,wkwk
kartu,kartu
paket,paket
pakai,pakai
eh,eh
boot,bot
maksutnya,maksud
beneran,benar
bangzat,bangsat
emg,memang
manipulasi,manipulasi
awas,awas
kualat,kualat
uninstal,uninstall
rame,rame
ksni,sini
bangkrutt,bangkrut
mndingan,mending
anjj,anjing
yng,yang
losetrek,losestreak
smpai,sampai
hibur,hibur
hrus,harus
land,land
off,off
down,down
lostreak,losestreak
bnyak,banyak
dri,dari
winstreak,winstreak
woee,woy
lahini,lah
pesan,pesan
sdikitcapek,capek
lasih,lagi
sistemmenang,sistem
tolongcapek,tolong
ngestuck,stuck
tier,tier
mulucuma,mulu
sistemdt,sistem
geme,game
su,su
systempasti,sistem
bot²amat,bot
sisa,sisa
segede,besar
perbaikin,perbaiki
nambahin,nambah
bye,bye
bejibun,bejibun
ta,ta
reting,rate
gada,gaada
jawajabar,jawa
yakali,kali
njirrr,anjir
teruss,terus
ngelagngalag,lag
on,on
hyp,hype
nyusahin,susah
oranglamalama,orang
capekmain,capek
nangis,nangis
kya,kayak
slomo,slowmo
ngak,tidak
geraka,gerak
anng,yang
ngecewain,kecewa
senang,senang
kerelog,relogin
kmi,kami
relog,relogin
ilang,hilang
ambil,sambil
jgn,jangan
dgn,dengan
optimal,optimal
signifikan,signifikan
serang,serang
buf,buff
turet,turet
padah,padah
frez,freeze
perihal,hal
matckhing,match
lebur,lebur
menganggu,ganggu
ngilangin,hilang
arti,arti
all,all
sdh,sudah
ancurmain,hancur
terussaran,terus
yjgn,jangan
perbolehkan,boleh
idjadi,jadi
id,id
kepakai,pakai
rankjadi,rank
siatemklw,sistem
ancur,hancur
leagend,legend
inisaran,saran
yalebih,lebih
seharus,harus
skor,skor
kredit,kredit
dinaikan,naik
xhari,hari
hambat,hambat
berpastisipan,partisipasi
telalu,terlalu
lebay,lebay
history,history
sanksi,sanksi
takut,takut
move,move
tetangga,tetangga
freeze,freeze
skrng,sekarang
bgini,gini
ujung,ujung
nonaktif,nonaktif
apk,apk
muncul,muncul
offline,offline
yaa,ya
ilangpas,hilang
gitusetelah,gitu
minion,minion
draf,draft
disetiap,tiap
damage,damage
rendahkan,rendah
bergadang,gadang
bintak,minta
senag,senang
efek,efek
cooldwon,cooldown
miya,miya
bentuk,bentuk
yin,yin
utama,utama
cmn,cuma
sampaikantolong,sampai
deh,deh
lpa,lupa
bkn,bukan
jump²,jump
sendiritiap,sendiri
sistemsama,sistem
dibelakangnya,belakang
satunya,satu
ingame,game
cap,cap
komplain,complain
pertimbangkan,timbang
temui,ketemu
sedia,sedia
catat,catat
battlefield,battlefield
lapor,lapor
terbutuk,buruk
petnah,fitnah
maininsaya,main
tindak,tindak
lanjuti,lanjut
timsistem,tim
bicara,bicara
kaga,tidak
mlnya,mlbb
patahpataheh,patah
taunya,tau
kauta,kata
tiktok,tiktok
baca,baca
revisi,revisi
matur,matur
suwun,suwun
engga,tidak
ngerti,ngerti
epiciii,epic
satupun,satu
ky,kayak
jelasiiiinnn,jelas
happy,happy
obat,obat
anjjjj,anjing
auto,auto
unist℅,uninstall
script,script
drone,drone
view,view
luas,luas
hack,hack
lagipula,lagi
lebar,lebar
lepasin,lepas
bnyk,banyak
pensi,pensi
scriptnya,script
sya,saya
memumpuni,mampu
oke,oke
garis,garis
bawahi,bawah
kasian,kasih
napa,kenapa
cary²,carry
pala,pala
bayang,bayang
emas,emas
coklat,coklat
hokff,hok
internal,internal
gblk,goblok
user,user
genah,guna
rolenya,role
dominan,dominan
feeder,feed
boros,boros
daya,daya
baterai,baterai
ponsel,ponsel
latency,latency
ijosinyal,sinyal
baguswifi,bagus
bagi²,bagi
utk,untuk
heronyaklo,hero
gord,gord
kurangilahmasa,kurang
gordaneh,gord
inti,inti
candu,candu
algoritma,algoritma
diterapin,terap
disaat,saat
bilang,bilang
mabar,mabar
luang,luang
soloterlalu,solo
op,op
jelasmakin,jelas
nyakalah,kalah
mekanik,mekanik
wajarlah,wajar
afkada,afk
nyabikin,bikin
banting,banting
hpyg,hp
gondoktolong,tolong
segi,segi
sangking,sangking
mersa,merasa
blokir,blokir
mobilelegend,mlbb
izin,izin
ikhlas,ikhlas
mendownload,download
inipantes,pantas
pakek,pakai
cheet,cheat
chett,cheat
digabungin,gabung
chet,cheat
anjirgua,anjir
doain,doa
kantor,kantor
burukpadahal,buruk
sesuairasanya,sesuai
grandmaster,grandmaster
mythicdan,mythic
datapadahal,data
mendownloadnyaini,download
memori,memori
rajalela,rajalela
adaselesai,ada
verifikasi,verifikasi
video,video
bugpemakaian,bug
trm,terima
ksh,kasih
bgs,bagus
gaenak,gaenak
sus,sus
ygy,guys
cuman,cuma
lost,lost
ngk,tidak
ngomongin,ngomong
poke,pakai
gatau,gatau
mytic,mythic
kluar,keluar
matiin,mati
kouta,kouta
clasic,klasik
pencet,pencet
logo,logo
deket,deket
kanan,kanan
easy,easy
digerakin,gerak
matcmaking,matchmaking
suruh,suruh
kagak,tidak
populer,populer
ff,ff
plagiat,plagiat
baek,baik
bukti,bukti
yt,youtube
riviewe,riview
tantang,tantang
ajar,ajar
kontrol,kontrol
kendali,kendali
tubuh,tubuh
tetaoi,tapi
tombol,tombol
mundurkan,mundur
replay,replay
fungsi,fungsi
gambar,gambar
systemnya,sistem
kapitalis,kapitalis
jokinya,joki
sehat,sehat
hbs,habis
bagusudh,bagus
beres,beres
player²,player
katagori,kategori
masi,masih
tahap,tahap
rendahpertanyaan,rendah
metik,mythic
honorglory,honor
mooton,moonton
tolongg,tolong
banned,ban
orangsebab,orang
bgtapalagi,banget
bocilbocil,bocil
ngejokiin,joki
hahaha,haha
imo,opini
hahahha,haha
nyatapi,tapi
inilogin,login
ajakalo,aja
downlod,download
komen,komen
grafis,grafik
lingkung,lingkung
hadeuhh,hadeh
tim²an,tim
kesemula,semula
menu,menu
kiri,kiri
tutup,tutup
kamera,kamera
tik,tik
roll,role
jelekbanyak,jelek
nyasering,sering
mulumain,mulu
cas,cas
hoki,hoki
evet,event
jelekbagus,jelek
njng,anjing
mengasikan,kasih
univers,universe
hi,hi
develop,developer
gasi,gasi
ratuu,ratu
sgmaaa,sigma
krptoo,kripto
singkat,singkat
uda,udah
bangett,banget
smw,semua
anomali,anomali
liar,liar
ws,winstreak
dwng,dong
salan,salah
teryata,ternyata
mw,mau
makasi,makasih
mahal,mahal
donwload,download
