term,replacement
kasur,kasur
semangat,semangat
semoga,semoga
ramai,ramai
tpi,tapi
gagal,gagal
nyelaraskan,selaras
puzzle,puzzle
operation,operation
to,to
often,often
tunggu,tunggu
gameplay,gameplay
smoth,smooth
harap,harap
tencent,tencent
helio,helio
buka,buka
extream,extream
mulupadahal,mulu
gapapagame,gapapa
yes,ya
auto,auto
settingan,setting
kanan,kanan
gawai,gawai
dukung,dukung
gawainya,gawai
mubazir,mubazir
speknya,spek
rubah,rubah
manusia,manusia
bunuh,bunuh
ngefreeze,freeze
performa,performa
matching,match
stuck,stuck
diloading,loading
anjay,anjir
bolak,bolak
bilang,bilang
ngaca,ngaca
oyy,oy
stabilin,stabil
tuh,tuh
nyalahin,salah
ketimbang,timbang
momok,momok
mending,mending
candy,candy
crush,crush
ccat,cat
freme,frame
ngotak,ngotak
kda,kda
rendah,rendah
gacha,gatcha
utamain,utama
benerin,benar
pay,pay
win,win
kalah,kalah
fpsgak,fps
skill,skill
samasampek²,sama
imbangin,imbang
banterus,ban
gitukalau,gitu
ortu,ortu
anak,anak
sekolah,sekolah
samain,sama
kerjaapalagi,kerja
ipad,ipad
viewnya,view
fpsnya,fps
jauhkalau,jauh
ban,ban
viewnyabiar,view
yailah,yailah
sound,sound
relog,relogin
normal,normal
fiks,fiks
kalamaan,lama
gila,gila
setiah,setia
ngeleg,lag
badmood,badmood
stack,stuck
gabakalan,gabakal
minus,minus
point,point
kesah,kesah
okey,oke
betulin,betul
an,an
for,for
clos,clos
apk,apk
siah,siah
haduhhh,haduh
lanar,lanar
stukpas,stuck
kagak,tidak
bisatpi,bisa
karir,karir
turungj,turung
bgtjadi,banget
trskek,terus
gyro,gyro
ngeselinpdahal,kesal
sensi,sensitif
uda,udah
eh,eh
bugjadi,bug
otorisasi,otorisasi
perangkat,perangkat
ap,apa
mic,mic
bansekiranya,ban
cheaterjangan,cheater
sanksi,sanksi
cheatergame,cheater
teman²,teman
tencet,tencent
dengar,dengar
hadiah,hadiah
pakek,pakai
anehtolong,aneh
ribett,ribet
ribet,ribet
ngapain,apa
gamer,gamer
barbar,barbar
frem,frame
bise,bisa
baikhanya,baik
pindah,pindah
sendiritolong,sendiri
dunk,dunk
perhatikanagar,perhatikan
ngbug,bug
hilangmobilnya,hilang
terbang,terbang
taii,tai
ketemu,ketemu
babi,babi
ampas,ampas
mata,mata
sedih,sedih
menang,menang
otak,otak
atik,atik
tutor,tutor
yutub,youtube
ttp,tetap
cerah,cerah
redup,redup
doang,doang
bingung,bingung
gakuat,gakuat
legendsgakuat,legend
mainnyahp,main
kurangin,kurang
besar²an,besar
munkin,mungkin
comeback,comeback
yaa,ya
hadiahnyalama,hadiah
membosanksn,bosan
pung,pung
yah,yah
inventaris,inventaris
profil,profil
kagetdan,kaget
konyoltidak,konyol
suara,suara
setan,setan
minsaya,min
malam,malam
la,la
nyata,nyata
diem,diem
ngapai²,gapai
tetep,tetep
ngebag,bug
jancokk,cok
dimanamana,dimana
ngeselin,kesal
parahparah,parah
cs,cs
loading,loading
puas,puas
nge,nge
ppro,pro
daya,daya
matchmaking,match
sampe,sampai
puluhan,puluh
paksa,paksa
solo,solo
mulai²,mulai
komunitas,komunitas
rame,rame
level,level
henti,henti
tengahtengah,tengah
kadangkadang,kadang
terkadang,kadang
pbug,bug
burukbug,buruk
banyakbentar,banyak
utama,utama
mobilkudarogerdan,mobil
sepeda,sepeda
motorroger,motor
telat,telat
butuh,butuh
jeda,jeda
stun,stuck
ngaruh,ngaruh
asik,asik
terusss,terus
audio,audio
senjatastepmobil,senjata
yaampun,yaampun
lahhhh,lah
baiktidak,baik
drop,drop
zona,zona
kembalilan,kembali
siangmalamhujandsb,siang
spesifikasi,spesifikasi
semkin,makin
cipta,cipta
sempurna,sempurna
pc,pc
ilang,ilang
kena,kena
heck,hack
kebuka,buka
abis,abis
uang,uang
kantor,kantor
jakarta,jakarta
ngelapor,lapor
pubgm,pubg
dapet,dapet
glacier,glacier
spin,spin
peti,peti
klasik,klasik
pliss,plis
plissss,plis
sial,sial
dowload,download
milik,milik
anjing,anjing
goblok,goblok
bangsat,bangsat
tenan,tenan
gini,gin
uninstall,uninstall
tanggung,tanggung
ngulas,ulas
kaga,tidak
sudi,sudi
kontol,kontol
tegang,tegang
pokok,pokok
matchnya,match
relogkeluar,relogin
alhasil,hasil
afkpoint,afk
favorit,favorit
maininnya,main
winner,win
chicken,chicken
dinner,dinner
masi,mas
ivennya,event
ivenya,event
mapnya,map
sarvernya,server
ngaru,ngaruh
menenga,menenga
lebi,lebih
cepat,cepat
kilnya,kill
says,says
oi,oi
cemana,gimana
solusi,solusi
ngabisin,habisin
kapasitas,kapasitas
dihandphone,hp
gabakal,gabakal
langgan,langgan
icloud,icloud
pub,pub
user,user
upgrate,upgrade
ngimbangin,imbang
tarung,tarung
peluru,peluru
keatas,atas
menghibaow,menghibaow
ngle²,lag
bugpas,bug
stug,stuck
lobypas,lobi
kepertempuran,tempur
tersi,tersi
stiap,setiap
kreatif,kreatif
vampiran,vampir
bosan,bosan
peduli,peduli
pentingkan,penting
dibenahi,benah
ff,ff
dak,dak
seportifitas,sportifitas
gatel,gatal
war,war
emosi,emosi
jh,jh
tlong,tolong
perbaikilah,perbaiki
posisi,posisi
hay,hey
kembang,kembang
view,view
file,file
activesav,active
ekonomi,ekonomi
tangis,tangis
tong,tong
begimna,gimana
ngeprem,frame
melulu,melulu
klau,kalau
rilis,rilis
ngelawan,lawan
musuh²nya,musuh
burik,jelek
knapa,kenapa
serius,serius
tutup,tutup
nukerin,tuker
popu,popu
nukarin,tuker
ajg,anjing
yatim,yatim
bodok,bodoh
wow,wow
gada,tidak
lompatprone,lompat
macem,macam
pengin,pingin
taut,taut
logout,logout
akunya,aku
isi,isi
syarat,syarat
nickname,nickname
siapbang,siap
cuaca,cuaca
kabut,kabut
contoh,contoh
noh,noh
peace,peace
efek,efek
animasinya,animasi
simple,simple
belibet,ribet
rpg,rpg
gajelas,gajelas
lamamending,lama
ah,ah
lootingan,looting
clasik,klasik
cba,coba
tambahin,tambah
cmn,cuma
alat,alat
ar,ar
tooson,tooson
seri,seri
time,time
out,out
sinya,sinya
join,join
android,android
gmna,gimana
ktmu,ketemu
orng,orang
snap,snap
lgi,lagi
skrng,sekarang
plyer,player
kbnyakn,banyak
jenis,jenis
gede,gede
lihat,lihat
sdngkan,sedang
pke,pakai
engeliat,lihat
inti,inti
msih,masih
ajj,aja
gabungin,gabung
siksa,siksa
streaming,streaming
krna,karena
mrka,mereka
hai,hey
putus,putus
warna,warna
realistis,realistis
seasion,season
launcing,launcing
mantap,mantap
tarik,tarik
tantang,tantang
item²,item
halo,halo
gamers,gamer
dpt,dapat
salam,salam
slalu,selalu
sayangi,sayang
balnya,bal
kuranginlah,kurang
ndendok,ndendok
kaku,kaku
nice,nice
geme,gamer
