tiba²,tiba
grafis,grafik
turunin,turun
setting,setting
oke²,oke
stres,stres
bng,bng
jago,jago
kek,kek
pli,pli
tu,tu
thiss,this
smpe,sampe
diamond,diamond
bajindolllllllll,anjing
geramnyoo,kesal
mage,mage
ws,sudah
ktemu,ketemu
coo,co
bngt,banget
delevoper,developer
suruh,suruh
bulatbulat,bulat
kesini,sini
keinstal,install
mlah,malah
bubble,bubble
ajar,ajar
kemarin,kemarin
masak,masak
seru,seru
semangat,semangat
ngilangin,hilang
nambah,nambah
sound,sound
knp,kenapa
login,login
ulang,ulang
total,total
sampe,sampe
trus,terus
developernya,developer
versi,versi
gorge,gorge
terbuka,buka
mentok,mentok
angka,angka
dukung,dukung
fix,fix
didownload,download
gerak,gerak
ketiga,tiga
normal,normal
kagak,kagak
ngeluarin,keluar
pikir,pikir
ngabisin,habis
kouta,kuota
hadehhh,hadeh
butuh,butuh
file²,file
klik,klik
terjeda,jeda
sll,selalu
pause,pause
gilir,gilir
upgrade,upgrade
pengunduhanya,download
bgt,banget
sii,si
dpt,dapat
apalgi,apalagi
dgn,dengan
seakan²,akan
gokil,gokil
dn,dan
drak,dark
tetep,tetep
stay,stay
tmpat,tempat
cmn,cuma
maju,maju
naikinnya,naik
matching,match
jago²,jago
platinum,platinum
diaatas,atas
mythic,mythic
imbang,imbang
maksudmu,maksud
njing,anjing
sepi,sepi
persis,persis
macthmaking,match
partner,partner
noob,noob
maaf,maaf
thk,thanks
cheater,cheater
lupa,lupa
tgl,tanggal
brp,berapa
dlm,dalam
bahasa,bahasa
mandarin,mandarin
tanggap,tanggap
minsetelah,setelah
mode,mode
chess,chess
teks,teks
huruf,huruf
malas,malas
filenya,file
ajing,anjing
langand,lag
naikin,naik
derita,derita
macet,macet
selesai²,selesai
jeda,jeda
hironya,hiro
bulat²,bulat
yups,yups
play,play
mvp,mvp
garagara,gara
very,very
bad,bad
dapet,dapat
baca,baca
trial,trial
rangked,rank
jamin,jamin
lanjutin,lanjut
kedepan,depan
bnyak,banyak
komplen,komplen
tpi,tapi
improve,improve
enteng,enteng
macem,macam
internet,internet
loh,loh
nyebelin,nyebelin
bangetgw,banget
matchbukan,match
human,human
mainkarena,main
ketauan,tau
disebelah,belah
diranked,rank
sinyalnyatolong,sinyal
dibagian,bagi
konyol,konyol
ajamasa,masa
reques,request
even,even
jum,jum
at,at
berkah,berkah
percaya,percaya
buka,buka
combo,combo
heino,heino
dolia,dolia
damage,damage
ulti,ulti
disaat,saat
keroyok,keroyok
teleportasi,teleportasi
dahlah,dah
mincapek,capek
stak,stak
naek,naik
udahudah,udah
lagiuninstal,lagi
disitu,situ
kmren,kemaren
alesan,alasan
kerja,kerja
samabla,sama
bla,bla
blamasa,bla
bodo,bodoh
min,min
minakhir,akhir
habis,habis
bintangkasih,bintang
terusss,terus
mingame,game
payahga,payah
kembang,kembang
merah,merah
temen,teman
tanda,tanda
mulus,mulus
gerakkenapa,gerak
inipersonal,personal
jungle,jungle
rotasi,rotasi
storage,storage
gede,gede
kasihan,kasihan
yanv,yang
mah,mah
pindah,pindah
drastis,drastis
usul,usul
reputasi,reputasi
potong,potong
alias,alias
sepadan,padan
kurangin,kurang
beratuntuk,berat
kedepannya,depan
heronyahanya,hero
poster,poster
battle,battle
minimal,minimal
updatenya,update
beratdevice,berat
jerit,jerit
seimbangkan,imbang
making,making
yaakarena,karena
topup,topup
pulsa,pulsa
xl,xl
langsungini,langsung
enak,enak
praktis,praktis
bossku,bos
updateset,update
hd,hd
normalfps,normal
dropbikin,drop
mainkanharap,main
syaa,aku
loongtiba,tiba
ngfreeze,freeze
mengerti,arti
niat,niat
hibur,hibur
nick,nick
ti水。,ti
sorry,sorry
suport,suport
hdr,hdr
madium,medium
maksud,maksud
kda,kda
benerin,benerin
hitung,hitung
plss,plis
gmna,gimana
yaa,ya
jg,juga
plsss,plis
dikit,dikit
tecentpas,tecent
ngelek,lag
bawa,bawa
scrol,scroll
tiktok,tiktok
youtube,youtube
panmana,mana
minion,minion
lelet,lelet
lagigw,lagi
dlu,dulu
lny,lain
sekalibisa,sekali
ultra,ultra
gratispokonya,gratis
the,the
best,best
deh,deh
voice,voice
over,over
jepang,jepang
editkalo,edit
epic,epic
mainnyadan,main
tambahin,tambah
ramah,ramah
developerkalo,developer
ngasih,kasi
dikitudah,dikit
stress,stres
hadeh,hadeh
both,both
resah,resah
klw,kalau
tibatiba,tiba
ngebug,bug
unggul,unggul
bara,bara
enjoy,enjoy
diakui,aku
msh,masih
drpd,daripada
fungsi,fungsi
chat,chat
after,after
add,add
friend,friend
kirim,kirim
pesan,pesan
taukah,tau
tangan,tangan
kata²,kata
kasar,kasar
sebentar,sebentar
sejati,sejati
hallo,halo
jumpa,jumpa
sambut,sambut
kedatanganmu,datang
ad,ad
tulis,tulis
terima,terima
bales,bales
feeder,feeder
blok,blok
hard,hard
win,win
easy,easy
ms,ms
seluler,seluler
ngk,tidak
ubah,ubah
signifikan,signifikan
dr,dari
cacad,cacat
cacat,cacat
salah,salah
menyerah,serah
ketat,ketat
gagal,gagal
seleksi,seleksi
fakta,fakta
heran,heran
gametiap,game
botsekali,bot
sekaliseterus,sekali
lagiplissss,lagi
sentem,sentem
mach,match
nyabiyar,biar
bosen,bosen
nyadapet,dapet
ampe,sampai
gilaaaaa,gila
naikthanksss,naik
samping,samping
retreat,retreat
backup,backup
responsif,responsif
satunya,satu
amanaman,aman
dilayar,layar
bolabola,bola
ganggu,ganggu
star,star
only,only
sangatsangat,sangat
senang,senang
